Movie_Title,Rank,Year,Score,Adjusted_Score,Director,Cast,Critics_Consensus,Synopsis
Bloodsport,117,1988,40%,41.178%,"Newt Arnold, Newton Arnold","Jean-Claude Van Damme, Leah Ayres, Donald Gibb, Norman Burton","This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly..."
Blade,116,1998,56%,61.695%,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright","Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",British director Stephen Norrington helmed this David S. Goyer adaptation of the Marvel Comics character created in 1973 by scripter...
Bad Boys,115,1995,42%,45.892%,Michael Bay,"Martin Lawrence, Will Smith, Téa Leoni, Tcheky Karyo","Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Former video director Michael Bay had his first big hit with this action comedy, which also returned producers Jerry Bruckheimer..."
Die Hard: With a Vengeance,114,1995,59%,63.58%,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene (II)","Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",Bruce Willis returns as misfit cop John McClane in the third film in the Die Hard series. McClane has fallen...
The Running Man,113,1987,64%,66.941%,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Richard Dawson",The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,An unjustly accused prisoner in 2019 is given a slim chance at freedom if he enters a battle-to-the-death on a...
Code of Silence,112,1985,63%,63.667%,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",No consensus yet.,"Not to be confused with the 1960 film of the same name, this fast-paced karate action flick stars Chuck Norris,..."
Shoot 'Em Up,111,2007,67%,72.193%,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie","As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",A mysterious man delivers a baby during a shootout and is entrusted with protecting the child from criminals out to...
Crank,110,2006,61%,63.706%,"Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Efren Ramirez, Jose Pablo Cantillo","Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.",A one-time freelance hitman who was just attempting to turn his life around is forced to keep his heart pumping...
Machete,109,2010,72%,77.685%,"Ethan Maniquis, Robert Rodriguez","Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin","Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",A blade-wielding ex-federale hides out as a day laborer when he is double-crossed by a corrupt senator. ...
Drive,108,2011,92%,100.521%,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Albert Brooks, Bryan Cranston","With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.","Ryan Gosling stars as a Los Angeles wheelman for hire, stunt driving for movie productions by day and steering getaway..."
Batman,107,1989,71%,76.981%,Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl","An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","Jack Nicholson is the Joker, who emerged from a horrible accident as a maniacal criminal. Michael Keaton is the Caped..."
Under Siege,106,1992,79%,80.505%,Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.","Andrew Davis directed this exciting thriller starring Steven Seagal, sans ponytail, and featuring electric, over-the-top performances by Gary Busey and..."
Independence Day,105,1996,67%,71.051%,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",A group of intrepid humans attempts to save the Earth from vicious extraterrestrials in this extremely popular science-fiction adventure. Borrowing...
Bullitt,104,1968,97%,100.604%,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Robert L. Pike's crime novel Mute Witness makes the transition to the big screen in this film from director Peter...
Wanted,103,2008,72%,79.862%,Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.","Wesley's (James McAvoy) life is over - his pathetic old one, anyway... Fortunately, it is all because of a girl...."
Superman,102,1978,94%,101.176%,Richard Donner,"Marlon Brando, Christopher Reeve, Gene Hackman, Ned Beatty","Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","Christopher Reeve as the Man of Steel in a big-budget epic with Oscar-winning effects. Marlon Brando, Margot Kidder, Gene Hackman,..."
Ronin,101,1998,68%,71.378%,John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård","Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","When an international team of former intelligence agents and Cold War warriors meet in a warehouse, their adventure of love,..."
They Live,100,1988,86%,90.662%,John Carpenter,"Roddy Piper, Keith David, Meg Foster, Peter Jason","A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",A homeless drifter discovers a reason for the ever-widening gap between the rich and the poor: a conspiracy by non-human...
Cliffhanger,99,1993,69%,72.917%,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner","While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.","A Rocky Mountain rescue expert (Sylvester Stallone) has retired because of his role in a woman's death, but the kidnapping..."
Marvel's The Avengers,98,2012,91%,104.965%,,,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.","Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man,..."
